License ID,Trade Name,Address,City,State,Zip Code,Report Type
"091526","Hampton Roads Winery","6074  New Design RD","Elberon","VA","23846-2630","Beer Shipper - In State (Industry)",
"131727","Hardware Hills LLC","5199 W River RD","Scottsville","VA","24590","Beer Shipper - In State (Industry)",
"752780","Hardywood Park Craft Brewery","820  Sanctuary Trail DR","Richmond","VA","23238","Beer Shipper - In State (Industry)",
"752209","Hark Vineyards","1465  Davis Shop RD","Earlysville","VA","22936","Beer Shipper - In State (Industry)",
"133391","Hazy Mountain Vineyards","240  Hazy Mountain LN","Afton","VA","22920","Beer Shipper - In State (Industry)",
"056127","Hickory Hill Vineyards","1722  Hickory Cove LN","Moneta","VA","24121","Beer Shipper - In State (Industry)",
"029566","Hill Top Berry Farm & Winery","2800  Berry Hill RD","Nellysford","VA","22958","Beer Shipper - In State (Industry)",
"052188","Hillsborough Vineyards","36716  Charles Town PIKE","Hillsboro","VA","20132-2743","Beer Shipper - In State (Industry)",
"754434","Honey & Hops Brew Works","212 W Main ST","Front Royal","VA","22630","Beer Shipper - In State (Industry)",
"752798","Horton Winery","6399  Spotswood TRL","Gordonsville","VA","22942","Beer Shipper - In State (Industry)",
"038767","Ingleside Plantation Vineyards","5872  Leedstown RD","Oak Grove","VA","22443","Beer Shipper - In State (Industry)",
"133357","Iron Heart Winery","3742  Boone Furnace RD","Allisonia","VA","24347","Beer Shipper - In State (Industry)",
"050057","James River Cellars Inc","11008  Washington HWY","Glen Allen","VA","23059-1904","Beer Shipper - In State (Industry)",
"133048","Jefferson Vineyards","1353  Thomas Jefferson PKWY","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"135973","Jiya Vineyards","13452  Harpers Ferry RD","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"131383","Jolene Family Winery LLC","2750  Pocahontas TRL","Quinton","VA","23141","Beer Shipper - In State (Industry)",
"133622","Kalliston Virginia","35195  Davis Wharf RD","Belle Haven","VA","23306","Beer Shipper - In State (Industry)",
"028688","Keswick Vineyards","1575  Keswick Winery DR","Keswick","VA","22947","Beer Shipper - In State (Industry)",
"042127","King Family Vineyards","6550  Roseland Farm N/A","Crozet","VA","22932","Beer Shipper - In State (Industry)",
"133478","Knead Wine","5 W Washington ST","Middleburg","VA","20117","Beer Shipper - In State (Industry)",
"028970","Lake Anna Winery","5621  Courthouse RD","Spotsylvania","VA","22551","Beer Shipper - In State (Industry)",
"754377","Lazy Days Winery","1351 N Amherst HWY","Amherst","VA","24521","Beer Shipper - In State (Industry)",
"756209","Le Vintage","1218  King ST","Alexandria","VA","22314","Beer Shipper - In State (Industry)",
"136227","Lickinghole Creek Craft Brewery","4100  Knolls Point DR","Goochland","VA","23063","Beer Shipper - In State (Industry)",
"753894","Linden Vineyards","3708  Harrels Corner RD","Linden","VA","22642","Beer Shipper - In State (Industry)",
"079534","Little Washington Winery","72  Christmas Tree LN","Washington","VA","22747","Beer Shipper - In State (Industry)",
"752809","Lost Boy Cider","317  Hooffs Run DR","Alexandria","VA","22314","Beer Shipper - In State (Industry)",
"135939","Lost Creek Winery","19305  Dodderidge CT","Bluemont","VA","20135","Beer Shipper - In State (Industry)",
"082832","Loving Cup Vineyard & Winery","3340  Sutherland RD","North Garden","VA","22959","Beer Shipper - In State (Industry)",
"052650","Lovingston Winery","885  Freshwater Cove LN","Lovingston","VA","22949-2008","Beer Shipper - In State (Industry)",
"135773","Luedtke Family Winery","2117  Bruno DR","Goodview","VA","24095","Beer Shipper - In State (Industry)",
"088563","Magnolia Vineyards & Winery","200  Viewtown RD","Amissville","VA","20106","Beer Shipper - In State (Industry)",
"094577","Market Street Wine","313 E Market ST","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"133113","Mebane Manor","5395  Five C RD","Dublin","VA","24084","Beer Shipper - In State (Industry)",
"753916","Mediterranean Cellars LLC","8295  Falcon Glen RD","Warrenton","VA","20186","Beer Shipper - In State (Industry)",
"133931","Mermaid Winery","101  Granby ST","Norfolk","VA","23510","Beer Shipper - In State (Industry)",
"756615","Merrie Mill Farm","708  Merrie Mill Farm N/A","Keswick","VA","22947","Beer Shipper - In State (Industry)",
"135323","Misty Mountain Meadworks, Inc.","661  Warm Springs RD","Winchester","VA","22603","Beer Shipper - In State (Industry)",
"051624","Molon Lave Vineyards","10075  Lees Mill RD","Warrenton","VA","20186","Beer Shipper - In State (Industry)",
"753637","Monticello","931  Thomas Jefferson PKWY","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"752832","Montifalco Vineyard","1800  Fray RD","Ruckersville","VA","22968","Beer Shipper - In State (Industry)",
"752916","Morais Vineyards and Winery","11409  Marsh RD","Bealeton","VA","22712","Beer Shipper - In State (Industry)",
"085035","Moss Vineyards","1849  Simmons Gap RD","Nortonsville","VA","22935","Beer Shipper - In State (Industry)",
"135438","Mount Airy Winegrowers LLC","1609  Lee HWY","Ft. Defiance","VA","24437","Beer Shipper - In State (Industry)",
"754064","Mount Alto Vineyards","10436  Howardsville TPKE","Esmont","VA","22937","Beer Shipper - In State (Industry)",
"756257","Mount Fair Estate","4626  Slam Gate RD","Crozet","VA","22932","Beer Shipper - In State (Industry)",
"752807","Mountain Run Winery","10753  Mountain Run Lake RD","Culpeper","VA","22701","Beer Shipper - In State (Industry)",
"039614","Mountainrose Vineyards","10439 N Reservoir RD","Wise","VA","24293-4311","Beer Shipper - In State (Industry)",
"068919","Muse Vineyards","16  Serendipity LN","Woodstock","VA","22664","Beer Shipper - In State (Industry)",
"067232","Naked Mountain Winery","2747  Leeds Manor RD","Markham","VA","22643","Beer Shipper - In State (Industry)",
"059726","Narmada Winery","43  Narmada LN","Amissville","VA","20106","Beer Shipper - In State (Industry)",
"085982","New Kent Winery","8400  Old Church RD","New Kent","VA","23124","Beer Shipper - In State (Industry)",
"134049","Nicewonder Farm & Vineyards","21152  Virginia TRL","Bristol","VA","24202","Beer Shipper - In State (Industry)",
"752945","North American Sake Brewery","522 SE 2nd ST","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"095085","North Gate Vineyard","16031  Hillsboro RD","Hillsboro","VA","20132-2843","Beer Shipper - In State (Industry)",
"050518","Notaviva Vineyards LLC","13274  Sagle RD","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
